Hotel name,Price,Rating
Hostal La Selecta,300,8.8
(Esperanza) Modern & luxury space near plaza mayor,403,8
8Rooms Madrid,294,8.5
Compostela Suites,261,7.7
Pensión Mollo,232,8.2
Viviendas Turísticas Conde de Molina,432,7.8
Hostal Abami II,,8.8
Hostal Los Andes,220,8.6
Hostal Americano,282,7.6
Apartamento Tosca Deco,403,7.2
Roisa Hostal Boutique,297,7.8
Buenos Días Lavapiés,360,8.9
Madrid 4 Days - Princesa,419,7.1
The Match Madrid,,8.6
Vértice Roomspace,212,7.7
Hostal Santillan,322,9.1
Hostal Aresol,259,9.2
Recoletos House,851,9.4
Apartamento 6 plazas. Centro de Madrid. Ref27,288,8
Hotel Los 5 Pinos,256,8.3
Hostal Royal Cruz,,9.1
Apartamentos Cuatro Torres,288,7.4
Hostal Olmedo,236,7.3
Hostal La Fontana,225,8.2
Hostal Pio,348,9.1
Apartamento Farineli Deco,281,6.8
Los Amigos Vip Rooms,399,9.1
El Pasaje,,7.5
Hostal Arriaza,306,7.7
Hostal Pizarro,215,8.2
Hostal Carracedo,208,8.9
Hostal Buenos Aires,244,8.3
Apartamento Tina Retiro - Retiro apartment 3 p.,300,
Hostal Alaska,200,8.1
Minas Central Suites,435,8.6
Hostal Greco Gran Vía Madrid,,7.9
"Eurobuilding II, Lujo Vintage by Allô Housing",547,8.9
Downtown Loft,325,8
Hostal Silserranos,316,8.7
Hostal Los Coronales,271,8.5
Hostal Patria Madrid,396,9.2
Hostal Adis,295,9.2
A casa mia!,,8.3
Friendly Rentals NoMad Rastro,336,8.6
Madrid 4 Days - Arenal,514,8.2
Hospedaje Los Rosales,207,8.1
Hostal Macarena,276,8.6
Hostal La Zona,392,8.6
Hostal Santa Ana Colors,345,8.4
Living Concepción Apartments,,8.6
Village Tovar - Herrera Oria,280,7.6
Apartamentos Leganitos,335,7.9
Bluesock Hostels Madrid,158,8.7
Funway Academic Resort,300,8.2
JQC Rooms,260,7.6
Sol Lavapiés apartamento,428,
Gran Via 63 Rooms,,7.9
Gran Central Suites,397,8.8
Hostal San Antonio,192,8.2
Hostal El Brezo,237,8.3
habitación doble con baño privado,236,6.6
BOUTIQUE KOKO Aeropuerto,280,8.2
Hostal CC Atocha,367,8.7
Behap Madrid Puerta del Sol,700,9.7
Hotel Serrano by Silken,,8.4
Hotel Julia,282,8.4
STAY El Rastro,828,7.9
room007 Chueca Hostel,317,8.8
Hostal Oxum,136,6.9
Aparthotel Encasa,239,8.3
Viviendas Turísticas Duque de Alba,308,8.1
Hotel Nuevo Madrid,,8.3
One Shot Fortuny 07,455,9
Rincón de Gran Vía,397,8.5
AC Hotel Los Vascos,432,8.4
Apartamento con jacuzzi - Atocha,1165,7.6
Ever House Ciudad Lineal,420,9.3
CH Apartamento Plaza del Angel - Semisótano,286,8.2
Puerta del Sol VI,,8.1
Hostel Almansa,156,7.6
Village Sol Apartments,285,7.5
Hostal Arrate,220,7
Hostal Anton Martin,348,8.7
Malasaña Central Suites,435,8.6
Apartamentos Madrid,356,7.8
