Hotel name,Price,Rating
Abba Madrid Hotel,77.0,8.0
Hotel NH Madrid Barajas Airport,72.0,8.0
Hotel Infanta Mercedes,65.0,7.0
Melia Avenida America Hotel & Conference Center,94.0,8.0
Tryp Madrid Cibeles Hotel,94.0,8.0
Petit Palace Arturo Soria,73.0,8.0
Urban Sea Atocha 113,76.0,8.0
Ibis Budget Madrid Vallecas,47.0,7.0
Far Home Bernabeu,73.0,9.0
Generator Madrid,122.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
"Hotel Santo Mauro, Autograph Collection",351.0,9.0
NH Collection Madrid Gran Via,183.0,9.0
NH Collection Madrid Colon,154.0,9.0
NH Collection Palacio de Tepa,171.0,9.0
Hotel Indigo Madrid - Gran Via,147.0,9.0
Only YOU Hotel Atocha,207.0,10.0
NH Collection Madrid Suecia,168.0,9.0
Catalonia Las Cortes,155.0,9.0
Madridcito Bed & Breakfast,77.0,10.0
VP Jardin de Recoletos,143.0,9.0
Mercure Madrid Plaza de Espana,98.0,9.0
Matute 11,108.0,8.0
Hotel Petit Palace President Castellana,119.0,8.0
Hostal Patria,90.0,9.0
Petit Palace Plaza Espana,119.0,8.0
Hotel Madrisol,81.0,7.0
Hotel Vincci Via 66,167.0,8.0
Villamadrid Hotel,142.0,8.0
Apartamentos Ramon de la Cruz 41,134.0,9.0
Hostal Alexis,79.0,9.0
Neo Magna,91.0,7.0
Regente Hotel,100.0,7.0
11th Principe by Splendom Suites,127.0,9.0
Hostal Abel Victoriano,57.0,8.0
Apartamentos Blume Cruz,75.0,9.0
Bastardo Hostel,79.0,9.0
Hostal Comercial,54.0,8.0
Hostal Main Street Madrid,81.0,9.0
NH Madrid Las Tablas,105.0,8.0
Eurostars Suites Mirasierra,145.0,8.0
B&B Hotel Madrid Aeropuerto T1 T2 T3,61.0,7.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Bless Hotel Madrid,345.0,10.0
The Principal Madrid,291.0,9.0
InterContinental Madrid,209.0,9.0
ICON Wipton,167.0,10.0
DoubleTree by Hilton Madrid-Prado,236.0,9.0
Only YOU Hotel Atocha,207.0,10.0
Eric Vokel Boutique Apartments - Atocha Suites,138.0,9.0
Intur Palacio San Martin,145.0,9.0
Petit Palace Puerta Del Sol,111.0,8.0
Hotel Miguel Angel,129.0,7.0
Hotel One Shot Luchana 22,95.0,9.0
Hotel Claridge,102.0,9.0
Hotel Princesa Plaza,116.0,7.0
Hostal Art Madrid,51.0,9.0
Hotel Mayorazgo,128.0,8.0
NH Madrid Principe de Vergara,122.0,9.0
HOTEL OPERA,96.0,8.0
Senator Castellana Hotel,94.0,7.0
Dormirdcine,76.0,8.0
Hotel Mirador de Chamartin,101.0,7.0
Hotel Los Condes,91.0,8.0
NYX Hotel Madrid,107.0,7.0
Woohoo Hostal Madrid,59.0,8.0
Hotel Agumar,84.0,7.0
Hotel Tach Madrid Airport,123.0,8.0
Hotel Exe Suites 33,82.0,8.0
Barbieri Sol Hostel,57.0,8.0
Esentia Togumar,59.0,8.0
Flat5Madrid,50.0,8.0
Far Home Atocha Hostel,77.0,9.0
Toc Hostel & Suites,109.0,9.0
Relais & Chateaux Hotel Orfila,298.0,10.0
URSO Hotel & Spa,194.0,9.0
Relais & Chateaux Heritage Madrid Hotel,232.0,10.0
NH Collection Madrid Eurobuilding,165.0,9.0
Hotel Villa Real,217.0,9.0
Hotel Atlantico,158.0,9.0
Only YOU Hotel Atocha,207.0,10.0
Hotel Room Mate Alicia,107.0,9.0
Hotel Meninas - Boutique Hotel,97.0,8.0
New Point Madrid Opera,99.0,9.0
Mola Suites,97.0,9.0
Gran Versalles Hotel,89.0,8.0
Hotel Zenit Abeba,99.0,8.0
The Citadel by Pillow,77.0,9.0
Astoria Hostal,64.0,8.0
Hostal Veracruz,40.0,8.0
Hotel Plaza Espana by Melia,126.0,7.0
Leonardo Hotel Madrid City Center,97.0,8.0
NH Madrid Paseo de la Habana,112.0,7.0
Hotel Madrid Centro managed by Melia,109.0,7.0
Hotel One Shot Recoletos 04,108.0,8.0
Hostal Atelier,69.0,9.0
Hostal Atocha Almudena Martin,55.0,8.0
Hotel One Shot Prado 23,102.0,9.0
Dolce Vita,66.0,8.0
Hotel Exe Moncloa,121.0,8.0
Tryp Madrid Alameda Aeropuerto Hotel,72.0,8.0
Hotel Victoria 4,122.0,8.0
Hotel Exe Plaza,97.0,8.0
Tryp Madrid Atocha Hotel,72.0,8.0
Eco Via Lusitana,58.0,7.0
Hostal Salamanca,53.0,7.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Hotel Fenix Gran Melia,221.0,9.0
Pullman Madrid Airport & Feria,182.0,8.0
Hotel Urban,255.0,9.0
ICON Casona 1900,158.0,10.0
ICON Embassy by Petit Palace,170.0,9.0
Only YOU Hotel Atocha,207.0,10.0
L&H Gran Via Selection,93.0,9.0
Petit Palace Plaza Mayor,118.0,8.0
Petit Palace Posada del Peine,115.0,8.0
Eco Alcala Suites,70.0,7.0
SmartRental Puerta del Sol,120.0,8.0
B&B Hotel Madrid Centro Plaza Mayor,72.0,8.0
Puerta del Sol Rooms,49.0,7.0
7 Islas Hotel,97.0,9.0
Room007 Sol,92.0,8.0
Hotel Escuela Madrid,50.0,7.0
Room Mate Mario,100.0,9.0
Hostal Ballesta,68.0,8.0
Soho Boutique Congreso,92.0,9.0
Posada del Dragon,89.0,9.0
Hostal San Lorenzo,67.0,7.0
Hostal Oriente,64.0,9.0
Hostal Vazquez de Mella,42.0,8.0
Los Amigos Hostel,45.0,8.0
Sercotel Madrid Aeropuerto,74.0,8.0
Travelodge Madrid Torrelaguna,71.0,7.0
Petit Palace Tres Cruces,92.0,8.0
A&Z Javier Cabrini,55.0,7.0
Hotel Via Castellana,88.0,7.0
JC Rooms Santo Domingo Hotel,77.0,8.0
Way Hostel,909.0,9.0
Relais & Chateaux Hotel Orfila,298.0,10.0
"Hotel Palacio Del Retiro, Autograph Collection",297.0,9.0
Hyatt Regency Hesperia Madrid,220.0,9.0
Luxury Suites,164.0,9.0
Aspasios Abada Apartments,116.0,10.0
Petit Palace Chueca,104.0,8.0
Only YOU Hotel Atocha,207.0,10.0
Hotel Sardinero Madrid,152.0,9.0
60 Balconies Urban Stay,137.0,9.0
Room Mate Oscar,127.0,9.0
Petit Palace Plaza del Carmen,111.0,9.0
NH Madrid Balboa,114.0,8.0
Aloft Madrid Gran Via,163.0,9.0
Exe Madrid Norte,80.0,7.0
Hotel Gran Legazpi,61.0,7.0
Hotel II Castillas,132.0,8.0
NH Madrid Chamberi,126.0,8.0
Mayerling Hotel,78.0,9.0
AC Hotel Atocha,135.0,8.0
Senator Barajas Hotel,109.0,6.0
One Shot Fortuny 07,103.0,9.0
Hostal Santillan,73.0,9.0
Hotel Eurostars Plaza Mayor,108.0,8.0
Ibis Budget Madrid Centro Lavapies,69.0,7.0
El Rincon de Gran Via,98.0,8.0
Rafaelhoteles Ventas,68.0,7.0
